Incident_ID,Date,Year,Month,Day,Role,Victim,Gender,Age,Date_of_Death
2017-0038,2017-04-01,2017,4,1,Driver,Motorcycle,Female,40,2017-04-01
2017-0040,2017-04-03,2017,4,3,Driver,Car,Male,43,2017-04-03
2017-0041,2017-04-03,2017,4,3,Driver,Motorcycle,Male,17,
2017-0042,2017-04-10,2017,4,10,Driver,Motorcycle,Male,42,2017-04-10
2017-0045,2017-04-14,2017,4,14,Driver,Motorcycle,Male,21,2017-04-14
2017-0047,2017-04-23,2017,4,23,Driver,Motorcycle,Male,37,2017-04-23
2017-0049,2017-04-27,2017,4,27,Pedestrian,Pedestrian,Male,22,2017-04-27
2017-0050,2017-04-28,2017,4,28,Driver,Motorcycle,Male,46,2017-04-28
2017-0050,2017-04-28,2017,4,28,Passenger_Companion,Motorcycle,Male,16,2017-04-28
2017-0051,2017-05-01,2017,5,1,Driver,Car,Male,33,2017-05-01
2017-0052,2017-05-05,2017,5,5,Pedestrian,Pedestrian,Female,47,2017-05-05
2017-0053,2017-05-05,2017,5,5,Driver,Motorcycle,Male,28,2017-05-05
2017-0054,2017-05-07,2017,5,7,Passenger_Companion,Motorcycle,Female,20,2017-05-07
2017-0055,2017-05-09,2017,5,9,Driver,Car,Male,32,2017-05-09
2017-0058,2017-05-09,2017,5,9,Pedestrian,Pedestrian,Male,80,2017-05-09
2017-0059,2017-05-11,2017,5,11,Pedestrian,Pedestrian,Female,39,2017-05-11
2017-0060,2017-05-13,2017,5,13,Passenger_Companion,Motorcycle,Male,30,2017-05-13
2017-0061,2017-05-15,2017,5,15,Pedestrian,Pedestrian,Male,47,2017-05-16
2017-0062,2017-05-15,2017,5,15,Driver,Motorcycle,Male,35,2017-05-15
2017-0063,2017-05-17,2017,5,17,Pedestrian,Pedestrian,Female,79,2017-05-17
2017-0064,2017-05-20,2017,5,20,Passenger_Companion,Cargo Vehicle,Male,61,2017-05-20
2017-0065,2017-05-22,2017,5,22,Cyclist,Bicycle,Male,21,2017-05-22
2017-0066,2017-05-22,2017,5,22,Pedestrian,Pedestrian,Male,10,2017-05-22
2017-0067,2017-05-23,2017,5,23,Driver,Motorcycle,Male,21,2017-05-23
2017-0068,2017-05-27,2017,5,27,Driver,Motorcycle,Male,32,2017-05-27
2017-0069,2017-05-29,2017,5,29,Driver,Motorcycle,Male,39,2017-05-29
2017-0070,2017-05-30,2017,5,30,Pedestrian,Pedestrian,Male,80,2017-05-31
2017-0072,2017-06-03,2017,6,3,Driver,Car,Male,25,2017-06-03
2017-0073,2017-06-04,2017,6,4,Driver,Motorcycle,Male,19,2017-06-04
2017-0074,2017-06-04,2017,6,4,No Data,No Data,Male,70,2017-06-04
2017-0075,2017-06-12,2017,6,12,Pedestrian,Pedestrian,Male,55,2017-06-12
