ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO
2016-0148,16/11/2016,2016,11,16,CONDUCTOR,MOTO,MASCULINO,SD,SD
2016-0150,18/11/2016,2016,11,18,PASAJERO_ACOMPA¥ANTE,CARGAS,MASCULINO,41,18/11/2016
2016-0151,18/11/2016,2016,11,18,PEATON,PEATON,SD,SD,SD
2016-0152,23/11/2016,2016,11,23,CONDUCTOR,MOTO,MASCULINO,42,24/11/2016
2016-0153,25/11/2016,2016,11,25,PEATON,PEATON,FEMENINO,83,25/11/2016
2016-0154,26/11/2016,2016,11,26,CONDUCTOR,MOTO,MASCULINO,38,SD
2016-0155,26/11/2016,2016,11,26,PEATON,PEATON,FEMENINO,29,SD
2016-0156,26/11/2016,2016,11,26,CONDUCTOR,MOTO,MASCULINO,23,30/11/2016
2016-0157,03/12/2016,2016,12,3,CONDUCTOR,MOTO,MASCULINO,23,SD
2016-0159,04/12/2016,2016,12,4,CONDUCTOR,AUTO,MASCULINO,23,SD
2016-0160,06/12/2016,2016,12,6,CONDUCTOR,CARGAS,MASCULINO,29,06/12/2016
2016-0161,06/12/2016,2016,12,6,PEATON,PEATON,MASCULINO,50,06/12/2016
2016-0162,07/12/2016,2016,12,7,PEATON,PEATON,MASCULINO,38,01/01/2017
2016-0163,10/12/2016,2016,12,10,CONDUCTOR,MOTO,MASCULINO,23,SD
2016-0164,11/12/2016,2016,12,11,CONDUCTOR,AUTO,MASCULINO,29,SD
2016-0165,12/12/2016,2016,12,12,CICLISTA,BICICLETA,MASCULINO,37,SD
2016-0168,13/12/2016,2016,12,13,CONDUCTOR,MOTO,MASCULINO,43,13/12/2016
2016-0169,15/12/2016,2016,12,15,CONDUCTOR,MOTO,MASCULINO,24,16/12/2016
2016-0170,19/12/2016,2016,12,19,PASAJERO_ACOMPA¥ANTE,MOTO,MASCULINO,21,19/12/2016
2016-0171,25/12/2016,2016,12,25,CONDUCTOR,MOTO,SD,SD,SD
2016-0172,26/12/2016,2016,12,26,CONDUCTOR,MOTO,MASCULINO,38,26/12/2016
2016-0173,26/12/2016,2016,12,26,CONDUCTOR,MOTO,MASCULINO,35,SD
2016-0174,27/12/2016,2016,12,27,SD,SD,SD,SD,SD
2016-0175,27/12/2016,2016,12,27,PEATON,PEATON,FEMENINO,SD,SD
2016-0176,28/12/2016,2016,12,28,CONDUCTOR,MOTO,MASCULINO,28,SD
2016-0177,29/12/2016,2016,12,29,PEATON,PEATON,FEMENINO,27,SD
2016-0178,30/12/2016,2016,12,30,PEATON,PEATON,FEMENINO,7,SD
2017-0001,02/01/2017,2017,1,2,CONDUCTOR,MOTO,MASCULINO,18,02/01/2017
2017-0003,05/01/2017,2017,1,5,PASAJERO_ACOMPA¥ANTE,CARGAS,MASCULINO,33,05/01/2017
2017-0007,11/01/2017,2017,1,11,PEATON,PEATON,MASCULINO,48,11/01/2017
